news_id,title,segmented_words,word_count,pos_tagging
caf46a381bccf83ae86e39b4b680251b,网传博主网购土拨鼠，到手发现疑为喜马拉雅旱獭，上海疾控称正调查，饲养此类动物合法吗？若不想养该怎么办？,网传博主 网购 土拨鼠 到手 发现 疑为 喜马拉雅 旱獭 上海 疾控称 正 调查 饲养 此类 动物 合法 若 不想 养该 怎么办,20,网传_n 博主网_n 购_v 土拨鼠_n  _x 到手_d 发现_v 疑为_v 喜马拉雅_ns 旱獭_n  _x 上海_ns 疾_ng 控称_v 正_d 调查_vn  _x 饲养_v 此类_r 动物_n 合法_n 吗_y  _x 若_c 不想_v 养该_v 怎么办_l
4b79b91409d503f32535a8859363b550,联合国安理会通过涉乌决议「呼吁迅速结束冲突」，中美俄均投下赞成票，这意味着什么？俄乌冲突何时能结束？,联合国安理会 通过 涉乌 决议 呼吁 迅速 结束 冲突 中美 俄均 投下 赞成票 意味着 俄乌 冲突 何时能 结束,17,联合国安理会_nt 通过_p 涉_vg 乌_nr 决议_n  _x 呼吁_v 迅速_ad 结束_v 冲突_vn  _x 中美_ns 俄均_j 投下_v 赞成票_n  _x 这_r 意味着_v 什么_r  _x 俄_j 乌_j 冲突_vn 何时能_nr 结束_v
dbab97e0066c0d44f33bda78427f9e9f,《哪吒 2 》港澳上映首日即登顶，目前已是全球影史第八名，预计最终票房能达到多少？,哪吒 港澳 上映 首日 即 登顶 目前 已 全球 影史 第八名 预计 最终 票房 达到 多少,16,哪吒_nrt  _x 港澳_j 上映_v 首日_t 即_v 登顶_n  _x 目前_t 已_d 是_v 全球_n 影史_n 第八名_m  _x 预计_vn 最终_d 票房_n 能_v 达到_v 多少_m
69874dcffcaafdfe53530a9b363a6845,湖南师范大学一教授公开与学生聊天记录，指责询问资料的学生「娇生惯养」，怎样看待他的做法？,湖南师范大学 一 教授 公开 学生 聊天记录 指责 询问 资料 学生 娇生惯养 怎样 看待 他 做法,15,湖南师范大学_nt 一_m 教授_n 公开_ad 与_p 学生_n 聊天记录_nz  _x 指责_v 询问_v 资料_n 的_uj 学生_n  _x 娇生惯养_v  _x 怎样_r 看待_v 他_r 的_uj 做法_v
e0e22964e7fbf6c1af85f40b232d4a13,博士配偶为初中学历被安排工作，湖北师范大学回应「符合政策，属劳务派遣」，怎样看待此事？,博士 配偶 初中 学历 被 安排 工作 湖北 师范大学 回应 符合 政策 属 劳务 派遣 怎样 看待 此事,18,博士_n 配偶_v 为_p 初中_f 学历_n 被_p 安排_v 工作_vn  _x 湖北_ns 师范大学_n 回应_v  _x 符合_v 政策_n  _x 属_v 劳务_vn 派遣_v  _x 怎样_r 看待_v 此事_r
e1e6bf975682c784a91c19ddd7ca460e,iPhone 17 全系设计图曝光，Plus 机型被砍，4 款机型 3 种设计，怎样看这些变化？,iPhone 全系 设计图 曝光 Plus 机型 被 砍 款 机型 种 设计 怎样 这些 变化,15,iPhone_eng  _x 全系_n 设计图_n 曝光_nz  _x Plus_eng  _x 机型_n 被_p 砍_v  _x 款_m 机型_n  _x 种_m 设计_vn  _x 怎样_r 看_v 这些_r 变化_vn
313291b761958b67ad3042acd957462d,老牌豪门曼联将关闭员工食堂，仅球员能吃上免费午餐，这能节省多少钱？可能出于哪些考虑？,老牌 豪门 曼联 将 关闭 员工 食堂 仅 球员 吃 免费 午餐 这能 节省 多少 钱 可能 出于 哪些 考虑,20,老牌_n 豪门_n 曼联_ns 将_d 关闭_v 员工_n 食堂_n  _x 仅_d 球员_n 能_v 吃_v 上_f 免费_vn 午餐_n  _x 这_r 能_v 节省_n 多少_m 钱_n  _x 可能_v 出于_v 哪些_r 考虑_v
6ace0bcfb99cc1b3b1aed7b9362504fe,俄罗斯宣布最新停战条件，关于俄美总统结束战争倡议的谈判成关键，如何看待目前的对话和冲突走向？,俄罗斯 宣布 最新 停战 条件 关于 俄美 总统 结束 战争 倡议 谈判 成 关键 看待 目前 对话 冲突 走向,19,俄罗斯_ns 宣布_v 最新_d 停战_v 条件_n  _x 关于_p 俄美_ns 总统_n 结束_v 战争_n 倡议_n 的_uj 谈判_vn 成_n 关键_n  _x 如何_r 看待_v 目前_t 的_uj 对话_n 和_c 冲突_vn 走向_v
2377c0142b85d4dc3cf0ba1bed4a5574,珠海、中山成香港人买房养老新选择，如何看待这种现象？「香港挣钱内地花」会成为一种生活趋势吗？,珠海 中山 成 香港 人 买房 养老 新 选择 看待 这种 现象 香港 挣钱 内地 花 成为 一种 生活 趋势,20,珠海_ns  _x 中山_ns 成_n 香港_ns 人_n 买房_n 养老_nr 新_a 选择_v  _x 如何_r 看待_v 这种_r 现象_n  _x 香港_ns 挣钱_v 内地_n 花_v  _x 会_v 成为_v 一种_m 生活_vn 趋势_n 吗_y
338adb21f9bbcf8ade10dd835253a8d2,《哪吒 2》中的章鱼大将军为什么能在岩浆中烤自己的腕吃？章鱼有痛感吗？它的可再生能力有多强？,哪吒 章鱼 大将军 岩浆 中烤 自己 腕 吃 章鱼 痛感 它 可再生 能力 有多强,14,哪吒_nrt  _x 中_f 的_uj 章鱼_nr 大将军_nr 为什么_r 能_v 在_p 岩浆_n 中烤_ns 自己_r 的_uj 腕_ng 吃_v  _x 章鱼_nr 有_v 痛感_a 吗_y  _x 它_r 的_uj 可再生_l 能力_n 有多强_nr
cf5e4cda0a80c87e3cc1d4eaffb6a0d2,有哪些看起来热量很高，实际热量却很低的食物？,哪些 看起来 热量 高 实际 热量 却 低 食物,9,有_v 哪些_r 看起来_v 热量_n 很_d 高_a  _x 实际_n 热量_n 却_d 很低_a 的_uj 食物_n
5a7a94b938a5caec3672d938c24cab80,为什么全国各地突然刮起了高中双休减负的风？,全国 各地 突然 刮起 高中 双休 减负 风,8,为什么_r 全国_n 各地_r 突然_ad 刮起_v 了_ul 高中_s 双休_nr 减负_v 的_uj 风_n
40011fc4f2623ec1e3f5cbc919bf59b1,DeepSeek预测「未来十年工资会变高的 10 大岗位」，多与AI、技术等相关，如何看待这一预测？,DeepSeek 预测 未来 十年 工资 会变 高 大 岗位 多 AI 技术 相关 看待 这一 预测,16,DeepSeek_eng 预测_vn  _x 未来_t 十年_m 工资_vn 会_v 变高_v 的_uj  _x 大_a 岗位_n  _x 多_m 与_p AI_eng  _x 技术_n 等_u 相关_v  _x 如何_r 看待_v 这_r 一_m 预测_vn
960d51331205711179ac560b78c64ca3,《哪吒之魔童闹海》中，三大龙王能否选择不叛变？,哪吒 之魔童 闹海 三大 龙王 能否 选择 不 叛变,9,哪吒_nrt 之_u 魔童_n 闹海_ns  _x 中_f  _x 三大_j 龙王_nr 能否_v 选择_v 不_d 叛变_v
bd64902cb192af806f732ef01cc637ce,爱奇艺 CEO 龚宇点名指责红果短剧「滥用市场支配地位」，如何看待爱优腾和红果之间在微短剧领域的竞争？,爱奇艺 CEO 龚宇 点名 指责 红果 短剧 滥用 市场 支配 地位 看待 爱 优腾 红果 之间 微 短剧 领域 竞争,20,爱奇艺_nr  _x CEO_eng  _x 龚宇_nr 点名_v 指责_v 红果_n 短剧_n  _x 滥用_v 市场_n 支配_vn 地位_n  _x 如何_r 看待_v 爱_v 优腾_v 和_c 红果_n 之间_f 在_p 微_n 短剧_n 领域_n 的_uj 竞争_vn
b3631559da84cb877bf429b582f6cca4,中国首口万米深井完钻，钻出石油了吗？为什么我们要付出这么多去探索深地？,中国 首口 万米 深井 完钻 钻 出 石油 我们 付出 这么 多去 探索 深地,14,中国_ns 首口_m 万米_m 深井_ns 完钻_a  _x 钻_v 出_v 石油_n 了_ul 吗_y  _x 为什么_r 我们_r 要_v 付出_v 这么_r 多_m 去_v 探索_v 深地_j
931760c3210b2796ec14a6a4b5f04fbc,澳大利亚为什么不引进狮子、老虎充当顶级掠食者的生态位?,澳大利亚 不 引进 狮子 老虎 充当 顶级 掠 食者 生态 位,11,澳大利亚_ns 为什么_r 不_d 引进_v 狮子_n  _x 老虎_nr 充当_a 顶级_n 掠_v 食者_n 的_uj 生态_n 位_q
